rank,headword,part of speech,frequency,dispersion
116,bile,posp,62844,0.93
117,geliş,v/n,66023,0.89
118,şimdi,adv,65554,0.89
120,kişi,n,61503,0.93
121,düş,v/n,58823,0.97
122,dur,v,61763,0.92
123,alt,n,58713,0.96
124,veya,conj,63221,0.89
125,yine,adv,59252,0.95
126,özellik,n,60875,0.91
127,ad,n,57634,0.96
128,hak,n,60207,0.92
129,sor,v,58690,0.94
130,adam,n,61058,0.90
131,dönem,n,59697,0.91
132,dis,n,59114,0.92
133,hayat,n,58742,0.92
134,sağla,v,61394,0.88
135,kur,v/n,57478,0.94
136,sonuç,n,59424,0.91
137,sahip,n,57414,0.94
138,tut,v,56029,0.96
139,at,v/n,56652,0.94
140,sür,v,54252,0.95
141,kız,n/v,57442,0.89
142,çünkü,conj,53673,0.95
143,ora,n,55347,0.90
144,tek,det,50555,0.97
145,bırak,v,51907,0.94
146,su,n,54954,0.89
147,üst,n,50705,0.95
148,oku,v,51526,0.93
149,sev,v,53681,0.89
150,duy,v,50954,0.93
151,birlikte,adv,49202,0.97
152,tanı,v/n,48818,0.96
153,bekle,v,49153,0.94
154,fazla,adj/adv/,48510,0.95
155,artık,adv/n,49211,0.94
156,uygula,v,53389,0.86
157,baba,n,51163,0.90
158,an,n/v,48889,0.93
159,değiş,v,47128,0.96
160,soru,n,47206,0.96
161,diğer,det,50320,0.90
162,ilgili,adj,49141,0.92
163,bilgi,n,49099,0.91
164,süre,n,46645,0.96
165,güzel,adj,50139,0.89
166,öyle,adv,49443,0.89
167,anne,n,49468,0.88
168,tarih,n,45132,0.96
170,arkadaş,n,48143,0.90
171,koy,v/n,43923,0.96
172,bugün,adv,44332,0.95
173,kaç,v/adj,44222,0.95
174,karar,n/v,45808,0.91
175,genel,adj,46689,0.90
176,sistem,n,48052,0.87
177,ilişki,n,45846,0.90
178,para,n,45424,0.91
179,dön,v,45009,0.91
180,güç,n/adj,42765,0.93
181,art,v/n,45898,0.87
182,ses,n,45318,0.88
183,küçük,adj,41667,0.95
185,tüm,det,41022,0.95
186,açık,adj,40784,0.95
187,toplum,n,44339,0.88
188,zor,adj,39801,0.97
189,sira,n,39754,0.96
190,olay,n,40594,0.94
191,ay,n,40982,0.93
193,grup,n,41494,0.91
194,belir,v,42709,0.88
195,uzun,adj,39340,0.96
196,sorun,n,40143,0.93
197,öl,v,40341,0.92
198,biraz,det,40594,0.91
199,kitap,n,40233,0.92
200,eski,adj/n,38548,0.95
201,eğitim,n,40017,0.95
202,kazan,v,38723,0.94
203,saat,n,38658,0.94
204,ayır,v,37384,0.97
205,otur,v,40009,0.90
206,tam,det,37215,0.97
207,hareket,n,38979,0.92
208,halk,n,39175,0.91
209,taşi,v,37327,0.96
210,anlam,n,38467,0.93
211,yük,n,39940,0.89
213,değer,n,39541,0.89
214,say,v,38594,0.91
215,bit,v,37928,0.93
216,nere,n,37926,0.91
217,yaşam,n,37538,0.92
218,açıkla,v,38361,0.90
219,hiçbir,det,36608,0.94
220,yapı,n,38742,0.89
221,yaş,n,36511,0.94
222,kabul,n,36669,0.93
223,az,det,35260,0.96
224,farklı,adj,36375,0.93
225,geri,n,34981,0.96
226,devam,n,34903,0.96
227,bölge,n,37657,0.89
229,karşıla,v,35208,0.94
230,genç,adj,35173,0.93
231,biçim,n,35905,0.91
232,sayı,n,36102,0.92
233,okul,n,35294,0.92
235,kat,v/n,34005,0.94
236,yüksek,adj,35772,0.89
237,gece,n,35688,0.89
238,kes,v,33005,0.95
239,gül,v/n,36913,0.85
240,açı,n,34671,0.91
241,amaç,n,35255,0.89
242,belki,adv,34208,0.91
243,temel,n,35133,0.89
244,gerçekleş,v,35039,0.89
245,ulas,v,33278,0.94
246,hep,adv,34111,0.91
247,işle,v,36014,0.86
248,ifade,n,33605,0.92
249,çevre,n,32374,0.95
250,yak,v,31739,0.97
251,evet,n,37896,0.81
252,özel,adj,33290,0.91
253,dil,n,33455,0.91
254,içeri,n,31515,0.96
255,tür,n,33620,0.90
256,yürü,v,31756,0.95
257,özellikle,adv,32426,0.93
258,erkek,n,31617,0.95
260,kez,n,32093,0.93
262,süreç,n,33300,0.89
263,kalk,v,31301,0.94
265,öğren,v,31158,0.94
266,kapi,n,33446,0.87
267,nokta,n,30399,0.94
268,etki,n,32537,0.88
270,dikkat,n,30038,0.95
271,ikinci,adj,30364,0.93
272,zaten,adv,32264,0.87
273,üzere,posp,29717,0.94
274,düzenle,v,31799,0.88
275,bin,v,31604,0.92
276,fark,n,28889,0.96
277,yarat,v,29919,0.93
278,yönetim,n,32454,0.85
279,düşünce,n,29906,0.92
281,izle,v,28696,0.96
282,oyna,v,30911,0.88
283,sık,v/adv,29391,0.93
284,koru,v/n,29171,0.93
285,görev,n,29687,0.91
286,savas,n/v,30146,0.90
287,madde,n,30772,0.87
288,kısa,adj,28497,0.97
289,kaynak,n,30049,0.89
290,gelir,n,31178,0.85
291,yeniden,adv,27903,0.95
292,parti,n,31644,0.84
293,merkez,n,29430,0.89
294,hazırla,v,27496,0.95
295,şöyle,adv,27798,0.94
296,yazı,n,28577,0.91
297,hizmet,n,31471,0.83
298,akıl,n,28440,0.91
299,başkan,n,31142,0.83
300,bölüm,n,27991,0.92
301,fakat,conj,27364,0.94
302,gerçek,adj,27090,0.95
303,örnek,n,27893,0.92
304,haber,n,28211,0.90
305,belirle,v,28958,0.87
306,oran,n,31848,0.79
307,öğrenci,n,29241,0.86
308,program,n,28388,0.88
309,belli,adj,25728,0.97
310,yön,n,26871,0.92
311,topla,v,25240,0.97
312,oda,n,27279,0.90
313,sec,v,25876,0.95
314,gelecek,n,25453,0.96
315,doğ,v,25525,0.96
316,mümkün,adj,26130,0.93
317,inan,v,26039,0.93
318,hatta,conj,25203,0.96
319,değerlen,v,27483,0.87
321,tart,v,25716,0.93
322,arka,n,25820,0.92
323,hava,n,25307,0.93
324,ayak,n,25971,0.91
325,toprak,n,27707,0.85
326,aslında,adv,24864,0.94
327,ayrıca,adv,25167,0.92
328,üniversite,n,25633,0.90
329,daya,v,24007,0.95
331,can,n,25477,0.89
332,asker,n,26339,0.85
333,hangi,adj,23248,0.96
334,kapa,v,23638,0.94
335,dol,v,24130,0.92
336,benze,v,23187,0.96
337,bas,v,23326,0.95
338,uygun,adj,24271,0.91
339,eğer,conj,23009,0.95
340,sosyal,adj,25554,0.85
341,ana,n,22492,0.96
342,çıkar,n,22531,0.95
343,sınıf,n,24215,0.88
344,din,n/v,25897,0.82
345,üretim,n,26682,0.79
346,kurum,n,24742,0.85
347,büyü,v/n,24001,0.88
348,film,n,25820,0.82
349,bağlı,posp,23394,0.90
350,unut,v,22883,0.92
351,in,v/n,22572,0.92
352,birkaç,det,22375,0.93
353,seçim,n,24024,0.86
354,ekonomik,adj,24785,0.83
355,ürün,n,25481,0.81
356,ihtiyaç,n,22329,0.92
357,gönder,v/n,21602,0.95
358,etkile,v,22429,0.91
360,incele,v,22892,0.89
361,ders,n,21996,0.92
362,san,v,22500,0.90
363,sat,v,22369,0.90
364,bey,n,22876,0.88
365,yüzde,n,28097,0.72
366,varlık,n,22382,0.90
367,üye,n,22595,0.88
368,yardım,n,21339,0.93
369,yemek,n,22106,0.92
370,politika,n,24494,0.81
371,duygu,n,21607,0.91
372,kaldır,v,20623,0.96
373,oyun,n,22590,0.87
374,görüş,n,21627,0.91
375,oğul,n,21429,0.90
376,derece,n,20598,0.94
377,dinle,v,21205,0.91
378,ileri,n,20406,0.95
379,gazete,n,21229,0.90
380,kötü,adj,20330,0.94
381,birçok,det,21321,0.89
383,ölüm,n,20557,0.92
384,hükümet,n,22121,0.86
385,sun,v,20854,0.91
386,yat,v/n,20198,0.93
387,kar,v/n,20208,0.93
388,ortam,n,20412,0.92
389,telefon,n,20662,0.90
390,sabah,n,20754,0.89
391,uzak,adj,19898,0.93
393,götür,v,19746,0.93
394,yazar,n,21435,0.86
395,parça,n,19614,0.94
396,şehir,n,19422,0.94
397,kısım,n,20157,0.90
398,aşk,n,20722,0.88
399,önem,n,20150,0.90
400,hafta,n,20061,0.91
401,köy,n,19531,0.93
402,yabancı,adj/n,19669,0.92
403,yüksel,v,19721,0.92
404,hatırla,v,19345,0.93
405,kolay,adj,18660,0.96
406,kent,n,19645,0.91
407,kavram,n,20633,0.86
408,örneğin,conj,19867,0.90
409,yöntem,n,20676,0.86
410,böylece,adv,18973,0.93
411,aşağı,n,18789,0.94
412,ayrı,adj,18377,0.96
413,çeşitli,adj,19352,0.91
414,tane,n,21013,0.84
415,hisset,v,19334,0.91
416,dönüş,v/n,18439,0.95
417,rağmen,posp,18535,0.95
419,yukarı,n,18470,0.95
420,öde,v,21153,0.83
421,yet,v,18539,0.94
422,tamam,n,21517,0.80
423,cevap,n,18253,0.94
424,duru,adj,18207,0.94
425,gerçekten,adv,18430,0.93
426,bakım,n,18641,0.91
427,şirket,n,22646,0.75
429,hız,n,19029,0.89
430,tekrar,n/adv,17774,0.95
431,akşam,n,18931,0.89
432,sürekli,adj,17653,0.96
433,bağla,v,17482,0.96
434,vur,v,18068,0.92
435,ait,posp,17591,0.94
436,hayır,n,18586,0.89
437,koşul,n,18367,0.90
438,araştırma,n,18830,0.88
439,sebep,n,18810,0.90
440,öte,n,17396,0.94
441,isim,n,17642,0.92
442,sanki,adv,18744,0.87
443,yanlış,adj,17043,0.95
444,kafa,n,17834,0.90
446,ölçü,n,18548,0.85
447,ortak,adj/n,17527,0.91
448,proje,n,18021,0.89
449,yetiş,v,17032,0.94
450,renk,n,17671,0.90
451,ilişkin,posp,18632,0.85
452,yasa,n,18144,0.88
453,tabii,adj,17161,0.92
454,meydan,n,17447,0.91
455,öğretmen,n,19070,0.83
457,yalnız,adj,16876,0.93
458,davranış,n,17907,0.88
459,yerleş,v,16700,0.94
460,dışarı,n,16846,0.93
461,plan,n,17134,0.91
462,birinci,adj,16523,0.95
464,dolayısıyla,conj,17094,0.91
465,sağ,n,16416,0.95
466,beraber,adv,16229,0.96
467,kuruluş,n,18262,0.85
468,kardeş,n,16949,0.91
469,uy,v,16032,0.96
470,kanun,n,18198,0.85
471,kork,v,17148,0.89
473,hedef,n,17192,0.89
474,mal,n,18739,0.81
475,savun,v,17001,0.89
476,gerekli,adj,16835,0.90
477,işlem,n,18374,0.82
478,doğu,n,15935,0.94
479,yüzyıl,n,16710,0.89
480,iz,n,15703,0.95
481,fikir,n,15877,0.93
482,faaliyet,n,17859,0.83
483,sektör,n,21917,0.68
484,sanat,n,20580,0.72
485,toplumsal,adj,17532,0.84
486,kurul,n,16963,0.87
487,hoca,n,17216,0.85
488,mücadele,n,17183,0.86
489,enerji,n,16964,0.86
490,kaybet,v,15436,0.95
491,sağlık,n,16067,0.91
492,destek,n,16226,0.90
493,boz,v/adj,15078,0.96
494,millet,n,16406,0.88
496,tak,v,15832,0.91
497,işçi,n,18624,0.77
499,aci,n/v/,16069,0.89
500,sevgi,n,16092,0.88
501,yönelik,posp,16541,0.86
502,araç,n,15834,0.90
504,teknik,n,16946,0.84
505,bazen,adv,15008,0.94
506,sinir,n,15308,0.92
507,ağız,n,15856,0.89
508,doğal,adj,15223,0.93
509,nitelik,n,16100,0.87
510,sol,n/v,15975,0.87
511,ilgi,n,14968,0.93
512,hanım,n,16000,0.87
513,çöz,v,15045,0.94
514,toplantı,n,15986,0.87
515,toplam,n,17152,0.81
516,çalışan,n,15190,0.92
517,banka,n,20087,0.69
518,yana,posp,14674,0.95
520,yari,n,15101,0.92
521,kon,v,14663,0.95
522,örgüt,n,16299,0.85
523,uluslararası,adj,16597,0.83
524,doktor,n,15420,0.89
525,çevir,v,14684,0.94
526,es,n/v/,15234,0.90
527,abi,n,16118,0.85
528,batı,n,15233,0.91
529,kol,n,15024,0.91
530,çözüm,n,15047,0.90
532,kontrol,n,15354,0.88
533,müzik,n,16821,0.80
534,hukuk,n,16760,0.81
535,dost,n,14945,0.90
536,veri,n,16140,0.83
537,teknoloji,n,15916,0.84
538,değişiklik,n,15866,0.83
539,araba,n,14845,0.90
540,kamu,n,17144,0.77
542,kap,v/n,14390,0.92
543,ağır,adj,14024,0.94
544,boyunca,posp,13776,0.96
545,boy,n,14141,0.93
547,yardımcı,n,14128,0.93
548,anlayış,n,14746,0.89
550,ruh,n,14921,0.89
551,kır,v/n/,13968,0.93
552,model,n,15044,0.87
553,şiir,n,16419,0.79
554,çal,v,14402,0.91
555,siyasi,adj,15275,0.85
556,herhangi,adv,13877,0.94
557,bakış,n,14190,0.91
558,başarı,n,14077,0.92
559,hesap,n,14658,0.88
560,milli,adj,15237,0.85
561,yavaş,adj,14048,0.92
562,piyasa,n,18530,0.70
563,çerçeve,n,14782,0.87
564,şart,n,13910,0.92
565,ciddi,adj,13428,0.95
566,niye,adv,15136,0.84
567,yalnızca,adv,13638,0.93
568,yakala,v,13367,0.94
569,güvenlik,n,14671,0.85
570,beri,posp,13022,0.96
571,izin,n,13122,0.95
572,miktar,n,15335,0.81
573,birey,n,14713,0.85
574,tercih,n,13485,0.92
575,düzen,n,13666,0.90
576,il,n,13790,0.90
577,hastalık,n,15411,0.80
578,cumhuriyet,n,13791,0.89
579,tip,n,13793,0.89
580,talep,n,13808,0.87
581,dakika,n,14216,0.86
582,masa,n,13993,0.88
583,kesim,n,13905,0.88
585,beyaz,adj,13245,0.92
586,yaklaşmak,v,13153,0.93
587,ağla,v,14096,0.87
588,hayvan,n,13305,0.91
589,vergi,n,16768,0.72
591,kimlik,n,13728,0.88
593,televizyon,n,13113,0.92
594,güneş,n,13468,0.90
595,duvar,n,14695,0.83
596,fiyat,n,12976,0.92
598,siyasal,adj,14867,0.81
600,dolu,adj,13264,0.90
601,giy,v,14573,0.82
602,tanımla,v,13471,0.89
603,yansi,v,13005,0.92
604,eser,n,13907,0.86
605,güven,v/n,12576,0.95
606,ilke,n,13704,0.86
607,henüz,adv,12397,0.95
608,boyut,n,13252,0.90
609,uza,v,13095,0.90
610,defa,n,12289,0.96
611,sanayi,n,14981,0.78
612,güçlü,adj,12349,0.95
614,sar,v,13100,0.89
615,işaret,n,12260,0.95
616,birleş,v,12281,0.94
617,esas,n,12902,0.90
619,eylem,n,13062,0.88
620,kıl,n,12841,0.90
621,çaba,n,12462,0.92
622,sene,n,13419,0.86
623,hani,adv,15864,0.72
624,uğra,v,11909,0.96
625,kelime,n,12496,0.91
626,fotoğraf,n,13537,0.84
627,suç,n,12957,0.87
629,ceza,n,12805,0.88
630,aş,v/n,11913,0.95
631,ekle,v,12121,0.93
632,yönetici,n,12866,0.87
633,birden,adv,12539,0.89
634,iktidar,n,13041,0.86
635,içer,v,12711,0.88
636,değişik,adj,12030,0.93
637,koca,n,12791,0.87
638,yaklaşım,n,12674,0.88
639,dolayı,posp,11779,0.94
640,ticaret,n,14670,0.76
641,tamamla,v,11849,0.93
642,demokrasi,n,13079,0.85
643,sok,v,11635,0.95
644,yatırım,n,15321,0.72
645,ters,adj,11435,0.97
646,üçüncü,adj,11616,0.95
647,nüfus,n,12292,0.90
648,özgürlük,n,12255,0.90
649,yıllık,n,12220,0.90
650,beyin,n,12327,0.89
651,derin,adj,11893,0.92
652,yay,v/n,11486,0.95
653,artış,n,14712,0.74
654,hayal,n,11978,0.91
655,değişim,n,12293,0.89
656,kari,n,12514,0.87
657,müdür,n,12157,0.89
658,yaklaşık,adj,12097,0.89
659,metin,n,12343,0.87
660,istek,n,11352,0.95
661,kalp,n,12534,0.86
662,sıcak,adj,11559,0.93
663,harca,v,12346,0.87
664,mevcut,adj,12151,0.88
665,saç,n/v,13002,0.82
666,korku,n,11736,0.90
667,hızlı,adj,11587,0.91
668,mektup,n,11729,0.90
669,meslek,n,11896,0.89
670,evlen,v,11554,0.91
671,iddia,n,11984,0.88
672,dök,v,11520,0.91
673,takım,n,16339,0.64
674,kişilik,n,11400,0.92
675,çiçek,n,11940,0.88
676,katkı,n,11753,0.89
677,çağır,v,11286,0.93
678,zarar,n,11297,0.92
679,kriz,n,12527,0.83
680,kullanım,n,12292,0.84
681,yönel,v,11063,0.94
682,olanak,n,11574,0.89
683,ulusal,adj,11826,0.86
684,gez,v,11436,0.90
685,lazım,adj,12492,0.83
686,kurtul,v,11098,0.93
687,firma,n,14674,0.70
688,mesela,conj,13159,0.78
689,dene,v,11014,0.93
690,sermaye,n,13822,0.74
691,çağ,n,11091,0.92
692,rapor,n,11453,0.89
693,dağ,n,11340,0.89
695,kara,adj/n,10971,0.92
696,ilerle,v,10582,0.96
697,sahne,n,12086,0.84
698,merak,n,11226,0.90
699,ilgilen,v,10424,0.97
700,destekle,v,11288,0.89
701,hazır,adj,10400,0.96
702,mutlu,adj,11177,0.89
703,düşük,adj,12125,0.82
704,iletişim,n,11515,0.87
705,vakit,n,10942,0.91
706,aşama,n,11132,0.89
707,çiz,v,10405,0.95
708,acaba,adv,10898,0.91
709,davran,v,10515,0.94
710,dolaş,v,10965,0.90
711,gözle,v,10897,0.91
712,yatak,n,11417,0.86
713,şaş,v,11024,0.89
714,bilgisayar,n,11636,0.85
715,paylaş,v,10466,0.94
716,basin,n,11283,0.87
717,yanıt,n,10472,0.94
718,uyan,v,10946,0.89
719,hoş,adj,10873,0.90
720,meclis,n,11294,0.86
721,hasta,adj,11526,0.85
722,çoğunluk,n,10709,0.91
723,ateş,n,10896,0.89
724,normal,adj,11043,0.88
725,baskı,n,10501,0.92
726,dün,adv,11594,0.83
727,uç,v/n/,11275,0.86
728,problem,n,10741,0.90
729,şarkı,n,11127,0.87
730,kulak,n,10757,0.89
731,köşe,n,10578,0.91
732,dergi,n,10512,0.91
733,rahat,adj/n,10325,0.93
734,belediye,n,10832,0.88
735,geçmiş,n,10109,0.94
736,sözcük,n,10551,0.90
737,anayasa,n,11813,0.80
738,kurtar,v,10095,0.94
739,doğa,n,10581,0.89
740,tepki,n,10361,0.91
741,gündem,n,10664,0.88
742,dava,n,10723,0.88
743,birer,adj,10003,0.94
744,mesele,n,10267,0.91
745,yara,n,9667,0.97
746,kus,n,10738,0.87
747,pay,n,11838,0.78
748,yararlan,v,10433,0.89
749,aktarmak,v,10017,0.92
750,genellikle,adv,10642,0.87
752,vurgula,v,10524,0.88
753,kop,v,9977,0.93
755,çay,n,10740,0.86
756,hüküm,n,11010,0.84
757,çarp,v,9748,0.94
758,sıkıntı,n,9757,0.94
759,karanlık,adj,10601,0.87
760,etkinlik,n,10451,0.88
761,inanç,n,9964,0.93
762,sigara,n,10274,0.89
763,ağaç,n,9878,0.92
765,tamamen,adv,9535,0.95
766,başarılı,adj,9885,0.92
767,tablo,n,10622,0.85
768,gizli,adj,9894,0.92
769,kay,v,9491,0.95
770,birim,n,10806,0.84
771,sorumluluk,n,10110,0.90
772,ak,v/adj,9981,0.91
773,yeterli,adj,10048,0.90
774,dal,n/v,9738,0.93
775,boş,adj,9784,0.92
776,paşa,n,10419,0.86
777,etraf,n,9618,0.93
778,bakanlık,n,10155,0.88
779,beden,n,10154,0.88
780,yaşlı,adj,10098,0.89
781,giriş,n,9657,0.93
782,oy,v/n,10150,0.88
783,silah,n,10192,0.88
784,başbakan,n,11365,0.79
785,vazgeç,v,9350,0.95
786,yürek,n,10564,0.84
787,ata,v/n,9467,0.94
788,bitki,n,13249,0.67
789,asıl,adj,9393,0.95
790,bahset,v,9664,0.92
791,teşekkür,n,10800,0.82
792,planla,v,9991,0.89
793,aday,n,10230,0.86
794,fırsat,n,9241,0.95
795,etkili,adj,9913,0.89
796,zorla,v/adv,9178,0.96
797,engelle,v,9467,0.93
798,emir,n,9617,0.91
799,lira,n,10991,0.80
800,uyu,v,10036,0.87
801,uğraş,v/n,9180,0.95
802,günlük,n,9257,0.94
803,soğuk,adj,9395,0.93
804,canlı,adj,9782,0.89
806,ordu,n,10130,0.86
807,tarz,n,9481,0.91
808,itibaren,posp,9466,0.91
810,değ,v,9007,0.96
811,görüntü,n,9261,0.93
812,belge,n,9648,0.89
813,öncelik,n,9422,0.91
814,ünlü,adj,9565,0.89
815,vücut,n,9799,0.87
816,lider,n,10668,0.80
817,ince,adj,9600,0.89
818,saygi,n,9204,0.92
819,siyaset,n,10045,0.85
820,mutlaka,adv,8948,0.95
821,kesin,adj,8850,0.96
822,başar,v,8992,0.94
823,elbette,adv,9094,0.93
824,sapta,v,9985,0.85
825,çizgi,n,9332,0.91
826,roman,n,10729,0.79
827,unsur,n,9644,0.87
828,borç,n,10611,0.79
829,konum,n,9327,0.90
830,yıldız,n,9822,0.85
832,öner,v,10459,0.80
833,üstelik,conj,9102,0.92
834,hızla,adv,8938,0.93
835,yoğun,adj,8887,0.94
836,herhalde,adv,9051,0.90
837,başlangıç,n,8993,0.92
838,salon,n,8923,0.91
839,kaynaklan,v,9156,0.90
840,kuvvet,n,9348,0.88
841,kenar,n,8928,0.92
842,yurt,n,8863,0.92
843,milletvekili,n,10370,0.79
844,kayıp,n,9008,0.91
845,yık,v,8693,0.94
846,rastla,v,8759,0.93
848,önle,v,8904,0.91
850,hücre,n,11522,0.70
851,idare,n,9519,0.85
853,olumlu,adj,9040,0.90
854,ilginç,adj,8649,0.93
855,kere,n,8814,0.91
856,faktör,n,9896,0.81
857,kuzey,n,9172,0.88
858,bakan,n,10163,0.79
859,balık,n,9145,0.88
860,kayıt,n,8806,0.91
861,kırmızı,adj,8933,0.90
862,dert,n,8945,0.90
863,erken,adv,8518,0.94
864,kaydet,v,8617,0.93
866,uzan,v,8777,0.91
867,sayfa,n,8748,0.91
868,dahil,n,8794,0.91
869,serbest,adj,8942,0.89
870,cümle,n,8704,0.91
871,sakla,v,8642,0.92
872,yetki,n,9553,0.83
873,zengin,adj,8237,0.96
874,öykü,n,9762,0.81
875,ada,n/v,8713,0.91
876,hastane,n,8519,0.93
877,yolla,v,8225,0.96
878,tavir,n,8612,0.91
879,seyret,v,8621,0.91
880,gönül,n,9126,0.86
881,belirli,adj,8917,0.88
882,malzeme,n,9198,0.85
883,satış,n,10714,0.73
884,tespit,n,8750,0.89
885,top,n,8824,0.88
886,umut,n,8487,0.92
888,kredi,n,11093,0.70
889,farklılık,n,8997,0.86
890,çıkış,n,8156,0.95
892,tedavi,n,10828,0.71
893,böl,v,8547,0.90
894,tarım,n,9562,0.81
895,ziyaret,n,8742,0.88
896,uzman,n,8359,0.92
897,üz,v,8701,0.88
898,temsil,n,8526,0.90
899,dik,v/adj,8635,0.89
900,şiddet,n,8592,0.88
901,ek,v/n,8445,0.91
902,karşın,posp,8285,0.92
903,yit,v,8233,0.93
904,yeşil,adj,8349,0.91
905,internet,n,9390,0.81
906,bebek,n,8709,0.87
907,hesapla,v,9164,0.83
908,ocak,n,8165,0.93
909,vatandaş,n,8459,0.90
911,barış,n/v,8665,0.87
912,ortalama,n,9624,0.78
913,yorum,n,8319,0.91
914,hata,n,8079,0.93
915,engel,n,8149,0.93
916,memur,n,8260,0.91
917,uzaklaş,v,8031,0.93
918,tepe,n,8184,0.91
919,olumsuz,adj,8334,0.89
920,takip,n,7916,0.94
922,yönet,v,7999,0.92
923,müşteri,n,10189,0.72
924,okur,n,8500,0.87
925,topluluk,n,8292,0.89
926,yerel,adj,8915,0.83
927,ücret,n,9697,0.76
928,bilinç,n,7968,0.92
930,gemi,n,8091,0.91
931,sözleş,v,9219,0.79
932,sınav,n,8334,0.88
933,yağ,v/n,8003,0.91
934,olgu,n,8601,0.85
935,aydın,n,8292,0.88
936,hafif,adj,8111,0.90
937,tehlike,n,7817,0.93
938,öğretim,n,8893,0.82
939,kalem,n,7815,0.93
940,yayınla,v,7846,0.93
941,kaza,n,7919,0.92
942,dizi,n,8064,0.90
943,algıla,v,8031,0.90
944,değerli,adj,8642,0.84
945,tanim,n,8130,0.89
946,modern,adj,7950,0.91
947,maliyet,n,10109,0.71
948,bağ,n,7715,0.93
949,güney,n,8045,0.90
950,öneri,n,7919,0.91
951,adet,n,8961,0.80
952,aralık,n,7897,0.91
953,sil,v,7729,0.93
954,tiyatro,n,9632,0.75
955,hala,n,8245,0.87
956,uçak,n,8093,0.89
957,itibar,n,8348,0.86
959,koku,n,8301,0.86
960,kalite,n,8849,0.81
961,tahmin,n,7954,0.90
962,alış,v,8774,0.81
964,analiz,n,8741,0.80
965,sorumlu,adj,7701,0.91
966,devrim,n,8197,0.86
967,takdir,n,7566,0.93
968,gelenek,n,8045,0.87
969,yarar,n,7516,0.93
970,orman,n,8798,0.80
971,seviye,n,8227,0.85
972,risk,n,8698,0.80
973,hat,n,7576,0.92
974,kültürel,adj,8399,0.83
975,uyku,n,8067,0.86
977,doğrusu,adv,7553,0.92
978,cep,n,7855,0.88
979,felsefe,n,8875,0.78
980,sefer,n,7476,0.93
981,ağ,n,7821,0.89
982,çeşit,n,7731,0.90
983,parmak,n,7891,0.88
984,düzel,v,7383,0.94
